cik,name,reportingDate,filingDate,nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,putCall,investmentDiscretion,otherManager,Sole,Shared,None
1478735,"TWO SIGMA ADVISERS, LP",20240930,20241114,WOLFSPEED INC,COM,977852102,23848420,2458600,SH,,SOLE,,2377500,0,81100
312069,BARCLAYS PLC,20240331,20240515,WOLFSPEED INC,COM,977852102,24730,838333,SH,,SOLE,1,838333,0,0
312069,BARCLAYS PLC,20240331,20240515,WOLFSPEED INC,BOND,977852AB8,259,448000,PRN,,SOLE,8,0,0,448000
312069,BARCLAYS PLC,20240331,20240515,WOLFSPEED INC,BOND,977852AD4,383,683000,PRN,,SOLE,8,0,0,683000
312069,BARCLAYS PLC,20240331,20240515,WOLFSPEED INC,COM,977852102,63,2121,SH,,SOLE,9,2121,0,0
1084208,RAYMOND JAMES & ASSOCIATES,20240630,20240719,WOLFSPEED INC,COM,977852102,1492030,65555,SH,,SOLE,,56170,0,9385
1538846,South Dakota Investment Council,20231231,20240201,WOLFSPEED INC,COM,977852102,9354,214989,SH,,SOLE,,214989,0,0
1610880,BlueCrest Capital Management Ltd,20231231,20240214,WOLFSPEED INC,NOTE 1.875%12/0,977852AD4,15360923,22884000,PRN,,OTR,,0,0,22884000
1602198,"Capital Impact Advisors, LLC",20240331,20240515,WOLFSPEED INC,COM,977852102,629442,21337,SH,,SOLE,,21337,0,0
1844201,"Opal Wealth Advisors, LLC",20240630,20240712,WOLFSPEED INC,COM,977852102,342,15,SH,,SOLE,,0,0,15
1761054,Treasurer of the State of North Carolina,20240930,20241114,WOLFSPEED INC,COM,977852102,528,54389,SH,,SOLE,,54389,0,0
1910417,Corton Capital Inc.,20240331,20240515,WOLFSPEED INC,COM,977852102,202606,6868,SH,,SOLE,,6868,0,0
1538846,South Dakota Investment Council,20240331,20240502,WOLFSPEED INC,COM,977852102,7124,241489,SH,,SOLE,,241489,0,0
728100,"LORD, ABBETT & CO. LLC",20231231,20240212,Wolfspeed Inc,CV,225447AD3,5787,5072000,SH,,SOLE,,5072000,0,0
1538846,South Dakota Investment Council,20240630,20240808,WOLFSPEED INC,COM,977852102,5775,253746,SH,,SOLE,,253746,0,0
1370102,"State of Alaska, Department of Revenue",20240331,20240419,WOLFSPEED INC,COM,977852102,399,13537,SH,,SOLE,,13537,0,0
1764807,"New Age Alpha Advisors, LLC",20240630,20240812,WOLFSPEED INC,NOTE  1.875%12/0,977852AD4,1111000,2000000,PRN,,SOLE,,2000000,0,0
1263548,WHITTIER TRUST CO OF NEVADA INC,20240331,20240502,WOLFSPEED INC COM,FIXED INCOME TAX EXEMPT,977852102,11798,400,SH,,SOLE,,400,0,0
714142,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,20231231,20240226,WOLFSPEED INC,COM,977852102,1567,36019,SH,,SOLE,1,36019,0,0
714142,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,20231231,20240226,"WOLFSPEED, INC",COM,977852102,9122,209660,SH,,SOLE,10,209660,0,0
714142,TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,20231231,20240226,"WOLFSPEED, INC",COM,977852102,190,4374,SH,,SOLE,21,4374,0,0
1081407,GABELLI FUNDS LLC,20240930,20241113,WOLFSPEED INC 1.750 05/01/26 CVT,BOND CONVERTIBLE,225447AD3,1359089,1900000,PRN,,SOLE,,1900000,0,0
