company_name,quarter,asset_category,balance,position_change
FIDELITY FINANCIAL TRUST,2024Q3,Other,23810000.0,
FIDELITY FINANCIAL TRUST,2024Q3,Other,7555000.0,
FIDELITY FINANCIAL TRUST,2024Q3,Other,2078000.0,
FIDELITY INCOME FUND /MA/,2024Q3,Other,1003000.0,
FIDELITY INCOME FUND /MA/,2024Q3,Other,8999000.0,7996000.0
FIDELITY MT VERNON STREET TRUST,2024Q3,Other,361002.0,
FIDELITY MT VERNON STREET TRUST,2024Q3,Other,133544.0,-227458.0
FIDELITY MT VERNON STREET TRUST,2024Q3,Other,68829.0,-64715.0
FIDELITY SALEM STREET TRUST,2024Q3,Other,27000.0,
FIDELITY SALEM STREET TRUST,2024Q3,Other,5079000.0,5052000.0
FIDELITY SALEM STREET TRUST,2024Q3,Other,7345000.0,2266000.0
FIDELITY SALEM STREET TRUST,2024Q3,Other,2281000.0,
FIDELITY SALEM STREET TRUST,2024Q3,Other,639000.0,
FIDELITY SALEM STREET TRUST,2024Q3,Other,14000.0,-7331000.0
FIDELITY SALEM STREET TRUST,2024Q3,Other,14521.0,
FIDELITY SALEM STREET TRUST,2024Q3,Other,5031.0,-9490.0
FIDELITY SALEM STREET TRUST,2024Q3,Other,43280.0,38249.0
FIDELITY SALEM STREET TRUST,2024Q3,Other,267270.0,223990.0
FIDELITY SALEM STREET TRUST,2024Q3,Other,60062.0,-207208.0
FIDELITY SALEM STREET TRUST,2024Q3,Other,39901.0,-20161.0
FIDELITY SCHOOL STREET TRUST,2024Q3,Other,12770000.0,
FIDELITY SELECT PORTFOLIOS,2024Q3,Other,418400.0,
FIDELITY SUMMER STREET TRUST,2024Q3,Other,118424000.0,
FIDELITY SUMMER STREET TRUST,2024Q3,Other,10765000.0,-107659000.0
FIDELITY SUMMER STREET TRUST,2024Q3,Other,370000.0,-10395000.0
FIDELITY SUMMER STREET TRUST,2024Q3,Other,6448000.0,6078000.0
FIDELITY SUMMER STREET TRUST,2024Q3,Other,5485000.0,-963000.0
FIDELITY SUMMER STREET TRUST,2024Q3,Other,648000.0,-4837000.0
FIDELITY SUMMER STREET TRUST,2024Q3,Other,88.0,
FIRST TRUST EXCHANGE-TRADED FUND,2024Q3,Other,439796.0,
FIRST TRUST EXCHANGE-TRADED FUND II,2024Q3,Other,6310.0,
FIRST TRUST EXCHANGE-TRADED FUND III,2024Q3,Other,-179769.0,
FIRSTHAND FUNDS,2024Q3,Other,170000.0,
FIRSTHAND FUNDS,2024Q3,Other,10000.0,-160000.0
FLEXSHARES TRUST,2024Q3,Other,2415.0,
FRANK FUNDS,2024Q3,Other,20000.0,
Federated Hermes Adviser Series,2024Q3,Other,-56369.0,
Federated Hermes Index Trust,2024Q3,Other,7368.0,
Fidelity Merrimack Street Trust,2024Q3,Other,7000.0,
Fidelity Merrimack Street Trust,2024Q3,Other,14000.0,7000.0
Fidelity Merrimack Street Trust,2024Q3,Other,2313000.0,2299000.0
Fidelity Multi-Strategy Credit Fund,2024Q3,Other,113000.0,
Fidelity Rutland Square Trust II,2024Q3,Other,723000.0,
Franklin Investors Securities Trust,2024Q3,Other,29900000.0,
Franklin Investors Securities Trust,2024Q3,Other,35000000.0,
GABELLI CONVERTIBLE & INCOME SECURITIES FUND INC,2024Q3,Other,2100000.0,
GREEN CENTURY FUNDS,2024Q3,Other,43189.0,
GROWTH FUND OF AMERICA,2024Q3,Other,8808854.0,
Global Opportunities Portfolio,2024Q3,Other,1695000.0,
Goldman Sachs ETF Trust,2024Q3,Other,7652.0,
Goldman Sachs ETF Trust,2024Q3,Other,2975.0,-4677.0
Goldman Sachs ETF Trust,2024Q3,Other,755.0,-2220.0
GuideStone Funds,2024Q3,Other,15000.0,
GuideStone Funds,2024Q3,Other,3037000.0,
GuideStone Funds,2024Q3,Other,737.0,
GuideStone Funds,2024Q3,Other,-11940.0,-12677.0
HARBOR FUNDS,2024Q3,Other,200000.0,
HARBOR FUNDS,2024Q3,Other,100000.0,
HC CAPITAL TRUST,2024Q3,Other,934.0,
INVESCO EXCHANGE-TRADED FUND TRUST,2024Q3,Other,120418.0,
INVESCO EXCHANGE-TRADED FUND TRUST,2024Q3,Other,221308.0,100890.0
INVESCO EXCHANGE-TRADED FUND TRUST,2024Q3,Other,120298.0,-101010.0
Invesco Exchange-Traded Fund Trust II,2024Q3,Other,40849.0,
Invesco Exchange-Traded Fund Trust II,2024Q3,Other,11000.0,-29849.0
Invesco Exchange-Traded Fund Trust II,2024Q3,Other,13967.0,2967.0
Invesco Exchange-Traded Fund Trust II,2024Q3,Other,41735.0,27768.0
Investment Managers Series Trust II,2024Q3,Other,5848.0,
J.P. Morgan Exchange-Traded Fund Trust,2024Q3,Other,21616.0,
J.P. Morgan Exchange-Traded Fund Trust,2024Q3,Other,57428.0,35812.0
JANUS INVESTMENT FUND,2024Q3,Other,575740.0,
JNL SERIES TRUST,2024Q3,Other,163094.0,
JNL SERIES TRUST,2024Q3,Other,7952.0,-155142.0
JNL SERIES TRUST,2024Q3,Other,2728.0,-5224.0
JNL SERIES TRUST,2024Q3,Other,412000.0,
JNL SERIES TRUST,2024Q3,Other,186401.0,183673.0
JNL SERIES TRUST,2024Q3,Other,13353.0,-173048.0
JNL SERIES TRUST,2024Q3,Other,9812.0,-3541.0
JOHN HANCOCK INVESTMENT TRUST,2024Q3,Shares,29156.0,
JOHN HANCOCK VARIABLE INSURANCE TRUST,2024Q3,Shares,55776.0,
JOHN HANCOCK VARIABLE INSURANCE TRUST,2024Q3,Other,978000.0,
JOHN HANCOCK VARIABLE INSURANCE TRUST,2024Q3,Other,3436000.0,
JOHN HANCOCK VARIABLE INSURANCE TRUST,2024Q3,Shares,20500.0,-35276.0
JOHN HANCOCK VARIABLE INSURANCE TRUST,2024Q3,Shares,23313.0,2813.0
JOHN HANCOCK VARIABLE INSURANCE TRUST,2024Q3,Shares,2162.0,-21151.0
JPMorgan Trust I,2024Q3,Other,275000.0,
JPMorgan Trust I,2024Q3,Other,609000.0,
JPMorgan Trust I,2024Q3,Other,375000.0,100000.0
JPMorgan Trust I,2024Q3,Other,2055000.0,1446000.0
John Hancock Funds II,2024Q3,Other,8093000.0,
John Hancock Funds II,2024Q3,Other,2313000.0,
LAZARD FUNDS INC,2024Q3,Other,161000.0,
LEGG MASON PARTNERS INVESTMENT TRUST,2024Q3,Other,2062274.0,
LEGG MASON PARTNERS VARIABLE EQUITY TRUST,2024Q3,Other,65126.0,
LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2024Q3,Other,1568.0,
LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2024Q3,Other,41905.0,40337.0
LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2024Q3,Other,38547.0,-3358.0
LITMAN GREGORY FUNDS TRUST,2024Q3,Other,115000.0,
LITMAN GREGORY FUNDS TRUST,2024Q3,Other,60000.0,
LOOMIS SAYLES FUNDS I,2024Q3,Other,955000.0,
LOOMIS SAYLES FUNDS I,2024Q3,Other,65000.0,
LOOMIS SAYLES FUNDS I,2024Q3,Other,1325000.0,370000.0
LOOMIS SAYLES FUNDS I,2024Q3,Other,110000.0,45000.0
LOOMIS SAYLES FUNDS II,2024Q3,Other,175000.0,
LOOMIS SAYLES FUNDS II,2024Q3,Other,20000.0,
LOOMIS SAYLES FUNDS II,2024Q3,Other,2350000.0,2175000.0
