doc_type,company_name,filing_date,name,lei,title,cusip,identifiers_otherDesc,identifiers_value,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerConditional_desc,issuerConditional_issuerCat,invCountry,isRestrictedSec,fairValLevel,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,descRefInstrmnt_issuerName,descRefInstrmnt_issueTitle,descRefInstrmnt_otherDesc,descRefInstrmnt_otherValue,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,unrealizedAppr,isCashCollateral,isNonCashCollateral,isLoanByFund
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,USAQ6T1,-68279.00000000,NS,USD,-1554030.04000000,-0.23118418766,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ARTISAN PARTNERS FUNDS INC,2024-08-29,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,1868704.00000000,NS,USD,42531703.04000000,0.973785063253,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND INC,2024-08-26,Wolfspeed Inc.,549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK USD.00125,977852102,N/A,BMBVND9,772.0000000000,NS,USD,17570.7200000000,0.0224516401,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND INC,2024-08-26,Wolfspeed Inc.,549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK USD.00125,977852102,N/A,BMBVND9,24644.0000000000,NS,USD,560897.4400000000,0.1064942837,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Adviser Managed Trust,2024-09-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK,977852102,N/A,N/A,738.00000000,NS,USD,13911.30000000,0.004011051586,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AdvisorShares Trust,2024-08-20,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,-30000.00000000,NS,USD,-682800.00000000,-1.00781029331,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Advisors' Inner Circle Fund III,2024-09-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK,977852102,N/A,N/A,467.00000000,NS,USD,8802.95000000,0.005009403710,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BANCROFT FUND LTD,2024-08-29,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,BS54RG7,3125000.00000000,PA,USD,1737500.00000000,1.643756819165,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BLACKROCK FUNDS,2024-09-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,977852102,2520.00000000,NS,USD,47502.00000000,0.002438927341,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BLACKROCK FUNDS,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,8227.00000000,NS,USD,155078.95000000,0.004382418060,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
