doc_type,company_name,filing_date,name,lei,title,cusip,identifiers_otherDesc,identifiers_value,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerConditional_desc,issuerConditional_issuerCat,invCountry,isRestrictedSec,fairValLevel,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,descRefInstrmnt_issuerName,descRefInstrmnt_issueTitle,descRefInstrmnt_otherDesc,descRefInstrmnt_otherValue,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,unrealizedAppr,isCashCollateral,isNonCashCollateral,isLoanByFund,estSharesLoaned
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,,,20000000.0,PA,USD,11458200.0,0.079376213617,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-07-01,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,-188520.0,NS,USD,-5095695.6,-0.03530022363,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,,,15000000.0,PA,USD,8873850.0,0.061473234295,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,225447AD3,,,10000000.0,PA,USD,8547900.0,0.058373786999,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,,,20000000.0,PA,USD,9970400.0,0.068088069105,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-09-30,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,-188520.0,NS,USD,-3553602.0,-0.02426762201,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,,,22473000.0,PA,USD,11954287.62,0.081636078951,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,,,27000.0,PA,USD,14362.38,0.674058755145,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,,,10250000.0,PA,USD,5452385.0,0.636695654407,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,CALAMOS STRATEGIC TOTAL RETURN FUND,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,,,5670000.0,PA,USD,3248399.7,0.127400762145,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
